Comment,Designator,Footprint,LCSC
1µF,C5,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
16Mhz,Y1,Crystal_HC49-4H_Vertical,
SW_Omron_B3FS,SW1,SW_SPST_Omron_B3FS-100xP,
1K,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
SRD-05VDC-SL-C,K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,
100µF,C2,CP_Elec_5x5.8,
1K,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
20pF,C8,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
AVR-ISP-6,J1,IDC-Header_2x03_P2.54mm_Vertical,
ATmega328P-A,U1,TQFP-32_7x7mm_P0.8mm,
5.1K,R9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1K,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1N4007,D3,D_DO-41_SOD81_P7.62mm_Horizontal,
BC546,Q2,TO-92_Inline,
1µF,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
USB_C,J3,USB_C_Receptacle_GCT_USB4110,
100nF,C4,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
1K,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1µF,C6,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
AMS1117-3.3,U3,SOT-223-3_TabPin2,
20pF,C7,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
5.1K,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
RX-RED,D1,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
1K,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1N4007,D4,D_DO-41_SOD81_P7.62mm_Horizontal,
TX-GREEN,D2,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
SRD-05VDC-SL-C,K2,Relay_SPDT_SANYOU_SRD_Series_Form_C,
~,U4,W5500Mini,
BC546,Q1,TO-92_Inline,
1µF,C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
Screw_Terminal_01x06,J4,TerminalBlock_WAGO_804-106_1x06_P5.00mm_45Degree,
1K,R6,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1K,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
FT232RL,U2,SSOP-28_5.3x10.2mm_P0.65mm,
10K,R13,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1K,R10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
24LC512,U5,SOIC-8_3.9x4.9mm_P1.27mm,
Relay1,D5,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
10K,R12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
Relay2,D6,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
1K,R11,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
